,Created,GPS,Location,Model,POST ID,latitude,longitude
39,2021:01:06 18:54:20,"38 deg 53' 25.80"" N, 77 deg 0' 37.80"" W",True,,2bujYLrW7vAX,38.8905,-77.0105
40,2021:01:06 20:22:17,"38 deg 53' 24.72"" N, 77 deg 0' 34.20"" W",True,iPhone 11,2DzUC8Jvgx4g,38.8902,-77.0095
41,2021:01:06 12:51:45,"38 deg 53' 31.56"" N, 77 deg 2' 12.48"" W",True,iPhone 11,2fqpw5l9SeIl,38.8921,-77.0368
42,2021:01:06 20:42:56,"38 deg 53' 31.20"" N, 77 deg 0' 58.32"" W",True,iPhone 8 Plus,2hmWsS7hbKrk,38.892,-77.0162
43,2021:01:06 14:23:15,"38 deg 53' 26.16"" N, 77 deg 2' 9.96"" W",True,,2lza0tzb6ICe,38.8906,-77.0361
44,2021:01:06 21:30:10,"38 deg 53' 28.68"" N, 77 deg 0' 35.28"" W",True,iPhone XS Max,2MGQVZjSLNJv,38.8913,-77.0098
45,2021:01:06 07:11:15,"38 deg 53' 22.52"" N, 77 deg 2' 3.08"" W",True,,2oSHSLNMqoOE,38.88958888888889,-77.03418888888889
46,2021:01:06 19:59:41,"38 deg 53' 24.00"" N, 77 deg 0' 34.92"" W",True,iPhone 7,2PBoIh9W74cM,38.89,-77.0097
47,2021:01:06 12:55:26,"38 deg 53' 47.76"" N, 77 deg 2' 0.60"" W",True,iPhone XS,2PNO2eGV8Hwp,38.8966,-77.0335
48,2021:01:06 18:40:03,"38 deg 53' 21.48"" N, 77 deg 1' 19.56"" W",True,iPhone XR,2pXy1CcaE27O,38.8893,-77.0221
49,2021:01:06 15:29:19,"38 deg 53' 30.84"" N, 77 deg 2' 13.20"" W",True,,2R64wIqkr5mS,38.8919,-77.03699999999999
50,2021:01:06 18:21:48,"38 deg 53' 24.00"" N, 77 deg 0' 41.76"" W",True,iPhone 7 Plus,2SYR2Wjra3ic,38.89,-77.0116
51,2021:01:06 18:46:11,"38 deg 53' 51.00"" N, 77 deg 2' 0.24"" W",True,,2tVrTWzXKhhJ,38.8975,-77.0334
52,2021:01:06 15:20:05,"38 deg 53' 28.68"" N, 77 deg 2' 14.64"" W",True,iPhone XS Max,2U6tbzcZD7NQ,38.8913,-77.0374
53,2021:01:06 19:06:26,"38 deg 53' 24.00"" N, 77 deg 0' 28.44"" W",True,iPhone SE (2nd generation),2XUH3sL1gOJ6,38.89,-77.0079
54,2021:01:06 20:13:02,"38 deg 53' 27.60"" N, 77 deg 0' 33.48"" W",True,iPhone 12,2XwJn0Iqphrc,38.891,-77.0093
55,2021:01:06 19:41:47,"38 deg 53' 21.84"" N, 77 deg 0' 41.76"" W",True,iPhone XS,2ydAnxMmbVs2,38.8894,-77.0116
56,2021:01:06 22:43:12,"38 deg 53' 29.76"" N, 77 deg 2' 0.24"" W",True,iPhone 8,2Yk3nUusMZ5M,38.8916,-77.0334
57,2021:01:06 14:46:48,"38 deg 53' 28.68"" N, 77 deg 2' 11.04"" W",True,iPhone 11 Pro Max,33nIRE4z014q,38.8913,-77.0364
58,2021:01:06 20:35:40,"38 deg 53' 23.64"" N, 77 deg 0' 37.44"" W",True,iPhone 7 Plus,35iIAVuIAijR,38.8899,-77.0104
59,2021:01:06 14:28:08,"38 deg 53' 30.84"" N, 77 deg 2' 11.04"" W",True,,36dzqKvu5ebk,38.8919,-77.0364
60,2021:01:06 12:55:26,"38 deg 53' 47.76"" N, 77 deg 2' 0.60"" W",True,iPhone XS,3cAKUWJfxeJH,38.8966,-77.0335
61,2021:01:06 19:13:29,"38 deg 53' 24.72"" N, 77 deg 0' 43.20"" W",True,iPhone XR,3GuxpBJHLuKf,38.8902,-77.012
62,2021:01:06 21:51:06,"38 deg 53' 23.64"" N, 77 deg 0' 37.44"" W",True,iPhone XS Max,3PkLpHaNWWeH,38.8899,-77.0104
63,2021:01:06 20:48:11,"38 deg 53' 22.56"" N, 77 deg 0' 36.36"" W",True,,3ViaXA7t2cYc,38.8896,-77.0101
64,2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",True,iPhone 12 Pro Max,3xX9V5SrmugB,38.8902,-77.0104
65,2021:01:06 16:59:32,"38 deg 53' 31.56"" N, 77 deg 2' 9.96"" W",True,iPhone 11 Pro Max,3Y0yDk1J2QZG,38.8921,-77.0361
66,2021:01:06 15:37:19,"38 deg 53' 28.32"" N, 77 deg 2' 14.28"" W",True,iPhone XS Max,3ziKghBbE6P6,38.8912,-77.0373
67,2021:01:06 19:51:30,"38 deg 53' 23.64"" N, 77 deg 0' 36.00"" W",True,iPhone 6s,3ZXOHhUdKlYd,38.8899,-77.01
68,2021:01:06 15:19:43,"38 deg 53' 31.92"" N, 77 deg 2' 10.32"" W",True,iPhone 6s Plus,401g3sjvH1UI,38.8922,-77.0362
69,2021:01:06 17:08:00,"38 deg 53' 25.08"" N, 77 deg 2' 7.08"" W",True,iPhone 8,40mZ6CU28v4l,38.890299999999996,-77.03529999999999
70,2021:01:06 16:22:16,"38 deg 53' 29.40"" N, 77 deg 2' 10.32"" W",True,iPhone XS,423yzZ0D9J0P,38.8915,-77.0362
71,2021:01:06 18:33:12,"38 deg 53' 28.32"" N, 77 deg 0' 47.52"" W",True,iPhone XR,49N6wcN2AIni,38.8912,-77.0132
72,2021:01:06 16:39:02,"38 deg 53' 29.40"" N, 77 deg 2' 8.88"" W",True,iPhone X,49UdNtftDTR8,38.8915,-77.0358
73,2021:01:06 18:52:20,"38 deg 53' 24.36"" N, 77 deg 0' 37.08"" W",True,iPhone 12 Pro Max,4AquVMy2oe6C,38.8901,-77.0103
74,2021:01:06 19:26:09,"38 deg 53' 23.64"" N, 77 deg 0' 37.80"" W",True,iPhone 11,4BhzQKA2VI0d,38.8899,-77.0105
75,2021:01:06 19:52:10,"38 deg 53' 24.72"" N, 77 deg 0' 37.08"" W",True,iPhone XR,4BN8CUCRxXuI,38.8902,-77.0103
76,2021:01:06 16:04:10,"38 deg 53' 31.20"" N, 77 deg 2' 5.64"" W",True,iPhone 12,4bspUiCwULxC,38.892,-77.0349
77,2021:01:06 22:28:46,"38 deg 53' 23.64"" N, 77 deg 0' 37.08"" W",True,iPhone XR,4CgvVPwmomjo,38.8899,-77.0103
78,2021:01:06 18:50:43,"38 deg 53' 24.36"" N, 77 deg 0' 37.08"" W",True,iPhone 12 Pro Max,4ENe4AvLzDXg,38.8901,-77.0103
79,2021:01:06 22:07:42,"38 deg 53' 24.72"" N, 77 deg 0' 38.16"" W",True,iPhone 12 Pro Max,4GAV26EQ2cD6,38.8902,-77.0106
80,2021:01:06 19:59:41,"38 deg 53' 24.00"" N, 77 deg 0' 34.92"" W",True,iPhone 7,4lidTEsWzSLx,38.89,-77.0097
81,2021:01:06 16:01:31,"38 deg 53' 29.04"" N, 77 deg 2' 10.68"" W",True,iPhone 11 Pro Max,4LUHpTKftGHg,38.8914,-77.0363
82,2021:01:06 19:43:39,"38 deg 53' 25.80"" N, 77 deg 0' 34.20"" W",True,iPhone 7,4nZvifrR6Gb5,38.8905,-77.0095
83,2021:01:06 21:49:22,"38 deg 53' 24.00"" N, 77 deg 0' 37.44"" W",True,iPhone XS Max,4sOiN4xK6zIM,38.89,-77.0104
84,2021:01:06 16:58:53,"38 deg 53' 28.68"" N, 77 deg 2' 9.60"" W",True,,4TEpyOHkOo1Y,38.8913,-77.036
85,2021:01:06 17:07:51,"38 deg 53' 31.92"" N, 77 deg 2' 5.64"" W",True,iPhone X,4UIpSX6NxSsY,38.8922,-77.0349
86,2021:01:06 19:30:48,"38 deg 53' 23.64"" N, 77 deg 0' 32.04"" W",True,iPhone SE (2nd generation),4wIDySD7tKxo,38.8899,-77.0089
87,2021:01:06 19:11:44,"38 deg 53' 24.36"" N, 77 deg 0' 37.08"" W",True,iPhone X,4z3SiPE3gdYo,38.8901,-77.0103
88,2021:01:06 20:23:05,"38 deg 53' 30.84"" N, 77 deg 0' 48.96"" W",True,iPhone 12 Pro Max,50d3X1juOHK8,38.8919,-77.0136
89,2021:01:06 21:00:35,"38 deg 53' 24.36"" N, 77 deg 0' 35.64"" W",True,,50XYMR09ys3v,38.8901,-77.0099
90,2021:01:06 17:06:34,"38 deg 53' 29.76"" N, 77 deg 2' 5.28"" W",True,iPhone X,52LnuwCTZdKB,38.8916,-77.0348
91,2021:01:06 02:38:17,"38 deg 53' 15.72"" N, 77 deg 0' 46.44"" W",True,iPhone 12 Pro,52OuFNlsDdFm,38.8877,-77.0129
92,2021:01:06 17:08:20,"38 deg 53' 31.56"" N, 77 deg 2' 10.68"" W",True,iPhone XS Max,52rqoXOfOPy5,38.8921,-77.0363
93,2021:01:06 19:35:28,"38 deg 53' 28.32"" N, 77 deg 0' 23.04"" W",True,iPhone 11 Pro Max,535LGMMm0KtE,38.8912,-77.0064
94,2021:01:06 20:02:11,"38 deg 53' 23.64"" N, 77 deg 0' 36.36"" W",True,iPhone 12,55IZysHw38wO,38.8899,-77.0101
95,2021:01:06 20:19:25,"38 deg 53' 23.28"" N, 77 deg 0' 37.80"" W",True,iPhone 7,58lWitKHBAbq,38.8898,-77.0105
96,2021:01:06 21:04:06,"38 deg 53' 23.64"" N, 77 deg 0' 31.68"" W",True,iPhone 12 Pro,5an2kTUFQs2t,38.8899,-77.0088
97,2021:01:06 20:55:25,"38 deg 53' 22.92"" N, 77 deg 0' 37.80"" W",True,iPhone 11,5E16pZQTISLc,38.8897,-77.0105
98,2021:01:06 18:06:20,"38 deg 53' 24.00"" N, 77 deg 0' 37.80"" W",True,iPhone 7,5F4X9i7bivo4,38.89,-77.0105
99,2021:01:06 17:29:06,"38 deg 53' 28.32"" N, 77 deg 2' 2.76"" W",True,iPhone 7 Plus,5GIdUYtOQZvC,38.8912,-77.0341
100,2021:01:06 19:36:20,"38 deg 53' 23.28"" N, 77 deg 0' 30.60"" W",True,iPhone 12 Pro Max,5kf2savkefB7,38.8898,-77.0085
101,2021:01:06 20:21:40,"38 deg 53' 22.20"" N, 77 deg 0' 37.44"" W",True,iPhone XR,5KP7PnNWK4Ue,38.8895,-77.0104
102,2021:01:06 20:25:41,"38 deg 53' 25.80"" N, 77 deg 0' 42.84"" W",True,iPhone 8 Plus,5L54o4c0fxCG,38.8905,-77.0119
103,2021:01:06 19:50:58,"38 deg 53' 21.84"" N, 77 deg 0' 39.60"" W",True,iPhone 7,5lmXbMBh57vI,38.8894,-77.011
104,2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",True,iPhone 12 Pro Max,5nYkXwoED2es,38.8902,-77.0104
105,2021:01:06 18:10:45,"38 deg 53' 43.08"" N, 77 deg 2' 0.24"" W",True,,5QCkdwJRD0a3,38.8953,-77.0334
106,2021:01:06 18:26:34,"38 deg 53' 30.84"" N, 77 deg 1' 29.64"" W",True,iPhone 7 Plus,5Uwz75EfuKZn,38.8919,-77.0249
107,2021:01:06 17:07:48,"38 deg 53' 31.92"" N, 77 deg 2' 6.72"" W",True,iPhone 11,5V9nwv8lo2mi,38.8922,-77.0352
108,2021:01:06 15:11:32,"38 deg 53' 39.48"" N, 77 deg 2' 0.96"" W",True,iPhone XR,5vsrnDL8ezuz,38.8943,-77.03359999999999
109,2021:01:06 20:17:40,"38 deg 53' 22.92"" N, 77 deg 0' 37.80"" W",True,iPhone 12 Pro Max,5WD4sk51MUzc,38.8897,-77.0105
110,2021:01:06 15:11:32,"38 deg 53' 39.48"" N, 77 deg 2' 0.96"" W",True,iPhone XR,5XnrzvP3TPee,38.8943,-77.03359999999999
111,2021:01:06 18:10:41,"38 deg 53' 36.96"" N, 77 deg 2' 12.12"" W",True,iPhone XS,63ExNlmUp31h,38.8936,-77.0367
112,2021:01:06 23:34:27,"38 deg 53' 46.32"" N, 77 deg 1' 55.56"" W",True,iPhone SE (2nd generation),64mhsecOOjLa,38.8962,-77.0321
113,2021:01:06 19:36:58,"38 deg 53' 23.28"" N, 77 deg 0' 37.80"" W",True,iPhone 12 Pro Max,65TvMK7dx9fy,38.8898,-77.0105
114,2021:01:06 21:39:03,"38 deg 53' 24.36"" N, 77 deg 0' 36.36"" W",True,iPhone 6s Plus,69WACz6SPQg8,38.8901,-77.0101
115,2021:01:06 19:01:49,"38 deg 53' 28.32"" N, 77 deg 0' 54.36"" W",True,iPhone XS Max,6dDTCsYzK3k3,38.8912,-77.0151
116,2021:01:06 19:28:31,"38 deg 53' 22.92"" N, 77 deg 0' 37.08"" W",True,iPhone 12,6FY6c0d8IMjz,38.8897,-77.0103
117,2021:01:06 23:15:26,"38 deg 53' 23.28"" N, 77 deg 0' 37.08"" W",True,iPhone 11 Pro Max,6JbG6I0FrJhn,38.8898,-77.0103
118,2021:01:06 18:21:48,"38 deg 53' 24.00"" N, 77 deg 0' 41.76"" W",True,iPhone 7 Plus,6JKN4W2L1wBv,38.89,-77.0116
119,2021:01:06 15:29:17,"38 deg 53' 26.52"" N, 77 deg 2' 8.52"" W",True,,6MmRehcrcAwY,38.8907,-77.03569999999999
120,2021:01:06 19:53:25,"38 deg 53' 25.08"" N, 77 deg 0' 36.72"" W",True,,6p2yjz4nBLcd,38.890299999999996,-77.0102
121,2021:01:06 14:44:53,"38 deg 53' 27.60"" N, 77 deg 2' 9.96"" W",True,iPhone 8,6sXRv5Xe53o0,38.891,-77.0361
122,2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",True,iPhone 12 Pro Max,6TYMFzQTLUTN,38.8902,-77.0104
123,2021:01:06 20:21:40,"38 deg 53' 22.20"" N, 77 deg 0' 37.44"" W",True,iPhone XR,6VYEdaOOP3hD,38.8895,-77.0104
124,2021:01:06 21:42:32,"38 deg 53' 33.36"" N, 77 deg 1' 35.76"" W",True,iPhone 12,6X2ZhStzVa3k,38.8926,-77.0266
125,2021:01:06 19:03:59,"38 deg 53' 24.36"" N, 77 deg 0' 36.72"" W",True,iPhone X,70PxGZN8jdkz,38.8901,-77.0102
126,2021:01:06 14:50:42,"38 deg 53' 22.20"" N, 77 deg 2' 8.52"" W",True,,78CswbGDMZ93,38.8895,-77.03569999999999
127,2021:01:06 19:03:59,"38 deg 53' 24.36"" N, 77 deg 0' 36.72"" W",True,iPhone X,7dlSyXDWtlyA,38.8901,-77.0102
128,2021:01:06 21:15:40,"38 deg 53' 24.36"" N, 77 deg 0' 38.52"" W",True,iPhone 12,7eLmGW77Y5o1,38.8901,-77.0107
129,2021:01:06 18:19:23,"38 deg 53' 24.00"" N, 77 deg 0' 37.08"" W",True,iPhone 8 Plus,7fckI1220tbu,38.89,-77.0103
